ProductUrl,productTitle,productPrice,averageRating,reviewTitle,reviewDescription,reviewAuthor,reviewAt,reviewLikes,reviewDislikes,certifiedBuyer,reviewerLocation,fiveStarRatingCount,fourStarRatingCount,threeStarRatingCount,twoStarRatingCount,oneStarRatingCount,reviewImages,scrapedAt,uniqId
https://www.flipkart.com/samsung-192-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itmfc9jqegu2mzbw,SAMSUNG 192 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,890",4.5,Must buy!,thank u flipkart for amazing deal in low budget...again thank u,Mithilesh kumar Singh,"Jun, 2019",0,0,True, Mewat District,"15,653","5,914","1,147",313,622,https://rukminim1.flixcart.com/blobio/124/124/201906/blobio-201906_d32en7ot.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201906/blobio-imr-201906_732b678a66dd4c3591bde0e62e95be7e.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201907/blobio-imr-201907_4bebfb7c6b424718b3b063b021bd91f1.jpg,21/02/2022 00:57:52,1b27d717-ab5f-5f2d-a039-72e350444ac9
https://www.flipkart.com/samsung-192-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itmfc9jqegu2mzbw,SAMSUNG 192 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,890",4.5,Simply awesome,very nice,Arun gupta Gupta,"Jun, 2019",0,0,True, Majhauliraj,"15,653","5,914","1,147",313,622,https://rukminim1.flixcart.com/blobio/124/124/201906/blobio-201906_d32en7ot.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201906/blobio-imr-201906_732b678a66dd4c3591bde0e62e95be7e.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201907/blobio-imr-201907_4bebfb7c6b424718b3b063b021bd91f1.jpg,21/02/2022 00:57:52,eae8a07a-2320-5823-a78c-43c808129ec6
https://www.flipkart.com/samsung-192-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itmfc9jqegu2mzbw,SAMSUNG 192 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,890",4.5,Fabulous!,Nice and good work,Rakshak  Talpada,"Jun, 2019",0,0,True, Kachchh District,"15,653","5,914","1,147",313,622,https://rukminim1.flixcart.com/blobio/124/124/201906/blobio-201906_d32en7ot.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201906/blobio-imr-201906_732b678a66dd4c3591bde0e62e95be7e.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201907/blobio-imr-201907_4bebfb7c6b424718b3b063b021bd91f1.jpg,21/02/2022 00:57:52,6ee94cea-f8f3-50a3-9c29-d7b254e62fe1
https://www.flipkart.com/boat-bassheads-220-super-extra-bass-wired-headset/p/itm145d97a73b7c7,boAt BassHeads 220 Super Extra Bass Wired Headset,₹549,4.2,Terrific purchase,Awesome 👍,Ganesh Kumar,3 months ago,0,0,True, Barmer,"4,81,631","2,07,879","70,733","26,270","54,970",https://rukminim1.flixcart.com/blobio/124/124/imr-202110/blobio-imr-202110_e627f5351bf34c55aab05324fb945349.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-202111/blobio-imr-202111_a640d35f32d74cafbbdba312eebba6d8.jpg,21/02/2022 00:57:52,4fcf51aa-c98f-55e6-ace0-6a78379d230b
https://www.flipkart.com/samsung-192-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itmfc9jqegu2mzbw,SAMSUNG 192 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,890",4.5,Perfect product!,Superb,MADDIKATLA RAVI KUMAR,"Jun, 2019",0,0,True, Kurnool District,"15,653","5,914","1,147",313,622,https://rukminim1.flixcart.com/blobio/124/124/201906/blobio-201906_d32en7ot.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201906/blobio-imr-201906_732b678a66dd4c3591bde0e62e95be7e.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201907/blobio-imr-201907_4bebfb7c6b424718b3b063b021bd91f1.jpg,21/02/2022 00:57:52,3ad8ede6-0901-5897-8576-2cc70232ccec
https://www.flipkart.com/boat-bassheads-220-super-extra-bass-wired-headset/p/itm145d97a73b7c7,boAt BassHeads 220 Super Extra Bass Wired Headset,₹549,4.2,Must buy!,Nice,Deep Kaur,3 months ago,0,0,True, New Delhi,"4,81,631","2,07,879","70,733","26,270","54,970",https://rukminim1.flixcart.com/blobio/124/124/imr-202110/blobio-imr-202110_e627f5351bf34c55aab05324fb945349.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-202111/blobio-imr-202111_a640d35f32d74cafbbdba312eebba6d8.jpg,21/02/2022 00:57:52,acfc52ff-5aa8-582a-9102-a84c01b77e6f
https://www.flipkart.com/redmi-9i-sea-blue-64-gb/p/itm1c59f8befb365,"REDMI 9i (Sea Blue, 64 GB)","₹8,999",4.3,Delightful,Good,Flipkart Customer,1 month ago,0,0,True, New Delhi,"3,28,310","1,24,451","49,227","17,010","29,481",,21/02/2022 00:57:52,84e6b64a-0924-5746-bb85-b8c0639ea921
https://www.flipkart.com/samsung-level-u2-type-c-charging-bluetooth-headset/p/itme6ca5d05b3a67,SAMSUNG Level U2 With Type-C Charging Bluetooth Headset,"₹2,199",4.0,Brilliant,"It's really amazing one , nice sound quality .",Yuvraj Dutt,"Jun, 2018",0,0,True, Patna,"41,006","13,359","5,738","3,109","10,378",,21/02/2022 00:57:52,19d17cc4-e434-575f-8311-7d209368d075
https://www.flipkart.com/samsung-galaxy-note10-lite-aura-red-128-gb/p/itm01849b7b430e5,"SAMSUNG Galaxy Note10 Lite (Aura Red, 128 GB)","₹43,000",4.3,Highly recommended,"camera quality is not so good, but for s pen lover can afford this in low price, battery life is poor.",Jitendra  Singh,"Feb, 2020",62,64,True, Sidhi,276,89,23,11,28,,21/02/2022 00:57:52,575ef9d1-6012-516a-831e-6733aa95bdb2
https://www.flipkart.com/samsung-192-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itmfc9jqegu2mzbw,SAMSUNG 192 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,890",4.5,Excellent,Good performance,Sai Kumar,"Jun, 2019",0,0,True, Vizianagaram,"15,653","5,914","1,147",313,622,https://rukminim1.flixcart.com/blobio/124/124/201906/blobio-201906_d32en7ot.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201906/blobio-imr-201906_732b678a66dd4c3591bde0e62e95be7e.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201907/blobio-imr-201907_4bebfb7c6b424718b3b063b021bd91f1.jpg,21/02/2022 00:57:52,33c2e09a-d39f-51a2-b85d-f373acc35819
https://www.flipkart.com/boat-bassheads-220-super-extra-bass-wired-headset/p/itm145d97a73b7c7,boAt BassHeads 220 Super Extra Bass Wired Headset,₹549,4.2,Pretty good,Nice product,Deva  Suresh,3 months ago,0,0,True, Krishnagiri,"4,81,631","2,07,879","70,733","26,270","54,970",https://rukminim1.flixcart.com/blobio/124/124/imr-202110/blobio-imr-202110_e627f5351bf34c55aab05324fb945349.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-202111/blobio-imr-202111_a640d35f32d74cafbbdba312eebba6d8.jpg,21/02/2022 00:57:52,3779e9d5-c269-54e0-af3d-bef8835755dd
